Report Number,Route Type,Road Name,Cross-Street Name,Collision Type,Municipality,Weather,Surface Condition,Traffic Control,Speed Limit,Latitude,Longitude,Date,Time,Year,Month,Day
DD5620007Q,Maryland (State),W JEFFERSON ST,S ADAMS ST,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,STOP SIGN,35,39.07764885,-77.07080351,2022-08-23,11:15:00,2022,8,23
DD56330072,Municipality,BALTIMORE RD,FIRST ST,SAME DIRECTION SIDESWIPE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,25,39.08457409,-77.13622149,2022-05-02,08:00:00,2022,5,2
DD5540000X,Municipality,MARYLAND AVE,GREAT FALLS RD,HEAD ON LEFT TURN,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.07607094,-77.1624614,2021-05-14,18:24:00,2021,5,14
DD5635003J,Municipality,N WASHINGTON ST,DAWSON AVE,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,,DRY,NO CONTROLS,35,39.0889765,-77.15389767,2021-04-23,15:08:00,2021,4,23
MCP3221001J,Municipality,HALPINE RD,E JEFFERSON ST,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,25,39.06012317,-77.12668867,2021-03-13,14:25:00,2021,3,13
DD55220054,Maryland (State),ROCKVILLE PIKE,EDMONSTON DR,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,NO CONTROLS,40,39.07307963,-77.13396314,2022-01-06,18:33:00,2022,1,6
DD5648000D,Municipality,TWINBROOK PKWY,CHAPMAN AVE,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,WET,TRAFFIC SIGNAL,35,39.05900833,-77.11923267,2021-10-04,21:48:00,2021,10,4
MCP3091003Q,Maryland (State),ROCKVILLE PIKE,HALPINE RD,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,25,39.06191217,-77.1243865,2022-07-23,07:30:00,2022,7,23
MCP229800Y4,Maryland (State),HUNGERFORD DR,FREDERICK AVE #2,SAME DIRECTION SIDESWIPE,ROCKVILLE,CLEAR,DRY,NO CONTROLS,40,39.09412167,-77.15352,2021-09-07,19:24:00,2021,9,7
DD56480015,Maryland (State),W MONTGOMERY AVE,NELSON ST,SAME DIRECTION SIDESWIPE,ROCKVILLE,CLEAR,DRY,OTHER,30,39.08565865,-77.17052536,2022-10-11,12:00:00,2022,10,11
