Report Number,Route Type,Road Name,Cross-Street Name,Collision Type,Municipality,Weather,Surface Condition,Traffic Control,Speed Limit,Latitude,Longitude,Date,Time,Year,Month,Day
DD5655000N,Maryland (State),W MONTGOMERY AVE,HURLEY AVE,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,NO CONTROLS,45,39.09146118,-77.15301514,2022-08-31,14:32:00,2022,8,31
EJ7887000J,Maryland (State),S FREDERICK RD,W DEER PARK RD,OTHER,GAITHERSBURG,CLEAR,DRY,TRAFFIC SIGNAL,35,39.13182517,-77.1886575,2021-06-17,11:00:00,2021,6,17
EJ78330014,Maryland (State),FREDERICK RD,DALAMAR ST,STRAIGHT MOVEMENT ANGLE,GAITHERSBURG,CLOUDY,DRY,NO CONTROLS,30,39.14698,-77.20550167,2015-11-06,16:24:00,2015,11,6
DM84920007,Maryland (State),NEW HAMPSHIRE AVE,HOLTON LA,HEAD ON LEFT TURN,TAKOMA PARK,CLOUDY,DRY,TRAFFIC SIGNAL,30,38.98585563,-76.98793537,2020-08-01,12:30:00,2020,8,1
EJ7852005N,Municipality,KENTLANDS BLVD,CHEVY CHASE ST,STRAIGHT MOVEMENT ANGLE,GAITHERSBURG,,,STOP SIGN,35,39.13992855,-77.19558577,2022-06-30,16:05:00,2022,6,30
MCP219800DD,Maryland (State),QUINCE ORCHARD RD,BANK ST,SAME DIR REAR END,GAITHERSBURG,CLEAR,DRY,NO CONTROLS,35,39.13648167,-77.22297833,2023-06-28,18:03:00,2023,6,28
DM8458001J,Maryland (State),FLOWER AVE,KENNEBEC AVE,OTHER,TAKOMA PARK,CLEAR,DRY,,10,38.98987167,-77.00140833,2018-03-14,12:45:00,2018,3,14
DM8352000D,Maryland (State),NEW HAMPSHIRE AVE,ALLEY #4,STRAIGHT MOVEMENT ANGLE,TAKOMA PARK,,DRY,TRAFFIC SIGNAL,35,38.98761667,-76.98797667,2020-11-01,07:15:00,2020,11,1
EJ78290019,Municipality,N SUMMIT AVE,BROOKS AVE,SAME DIRECTION SIDESWIPE,GAITHERSBURG,CLEAR,DRY,NO CONTROLS,25,39.14347833,-77.19310167,2015-04-26,16:20:00,2015,4,26
MCP2231005G,County,GOSHEN RD,ODENDHAL AVE,HEAD ON LEFT TURN,GAITHERSBURG,CLEAR,DRY,TRAFFIC SIGNAL,30,39.15209167,-77.192525,2020-03-15,12:20:00,2020,3,15
HA24240009,Government,SLIGO CREEK PKWY,HEATHER AVE,HEAD ON LEFT TURN,TAKOMA PARK,RAINING,WET,,25,38.97992666,-76.99459612,2018-03-01,13:52:00,2018,3,1
MCP2350000G,Maryland (State),ROCKVILLE PIKE,HALPINE RD,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,,40,39.061527,-77.123758,2016-05-29,00:05:00,2016,5,29
DD5603002Q,Maryland (State),ROCKVILLE PIKE,W EDMONSTON DR,SAME DIR REAR END,ROCKVILLE,RAINING,WET,TRAFFIC SIGNAL,40,39.07447508,-77.13586539,2016-04-07,16:03:00,2016,4,7
DD5636002B,Maryland (State),ROCKVILLE PIKE,WOOTTON PKWY,SAME DIR REAR END,ROCKVILLE,CLEAR,WET,NO CONTROLS,35,39.0806167,-77.1438885,2020-06-19,19:09:00,2020,6,19
DD5601002N,Maryland (State),ROCKVILLE PIKE,EDMONSTON DR,SAME DIR REAR END,ROCKVILLE,RAINING,WET,NO CONTROLS,40,39.07361093,-77.13477373,2017-01-23,13:39:00,2017,1,23
MCP137800L9,Municipality,RUSSELL AVE,CHRISTOPHER AVE,STRAIGHT MOVEMENT ANGLE,GAITHERSBURG,CLOUDY,DRY,TRAFFIC SIGNAL,30,39.15762167,-77.213705,2018-05-22,14:46:00,2018,5,22
DD56190005,Municipality,MARTINS LA,N WASHINGTON ST,SINGLE VEHICLE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,25,39.09064,-77.15372833,2016-04-21,07:51:00,2016,4,21
EJ7891000P,Municipality,BRIGHT MEADOW DR,LEANING OAK ST,SINGLE VEHICLE,GAITHERSBURG,CLEAR,DRY,STOP SIGN,35,39.11571377,-77.23177992,2021-11-10,22:22:00,2021,11,10
DD5633006H,Maryland (State),VEIRS MILL RD,ATLANTIC AVE,OTHER,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.07496232,-77.11570394,2022-01-16,11:25:00,2022,1,16
DD5617000M,Maryland (State),HUNGERFORD DR,N WASHINGTON ST,HEAD ON,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,35,39.09201167,-77.15318333,2017-02-15,09:45:00,2017,2,15
DD5615001V,Maryland (State),NORBECK RD,E GUDE DR,SAME DIR REAR END,ROCKVILLE,CLOUDY,WET,NO CONTROLS,50,39.089575,-77.13052167,2016-05-13,14:46:00,2016,5,13
MCP27650020,County,SHADY GROVE RD,RESEARCH BLVD,STRAIGHT MOVEMENT ANGLE,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,40,39.10499667,-77.19053954,2016-03-06,16:29:00,2016,3,6
DD5633006N,Maryland (State),FREDERICK RD,REDLAND BLVD,SAME DIR REAR END,ROCKVILLE,CLEAR,DRY,TRAFFIC SIGNAL,0,39.11564714,-77.16645747,2022-03-10,06:30:00,2022,3,10
MCP1099004K,Maryland (State),FREDERICK RD,CHRISTOPHER AVE,HEAD ON LEFT TURN,GAITHERSBURG,CLEAR,DRY,TRAFFIC SIGNAL,40,39.1595115,-77.2086215,2022-08-24,09:41:00,2022,8,24
